timestamp_us,raw_reading
482790414,196976
482800594,180123
482810775,194921
482820955,185093
482831136,186723
482841316,197846
482849800,182656
482859980,196438
482870161,183371
482880341,188171
482890522,196850
482900702,180478
482910882,195042
482921063,185872
482931243,187200
482941424,197666
482949907,182372
482960088,196254
482970268,183206
482980449,188401
482990634,197078
483000822,179862
483011010,194873
483021197,186823
483031385,186462
483039835,195093
483050015,181892
483060195,196025
483070376,183735
483080556,188546
483090737,197272
483100917,179489
483111098,194845
483121278,187056
483131459,186256
483139943,196008
483150123,181979
483160304,196656
483170484,184682
483180665,188938
483190845,197437
483201025,180163
483211206,194764
483221386,187267
483229870,190508
483240050,195648
483250231,182049
483260411,195826
483270592,184377
483280772,188061
483290953,197257
483301133,179920
483311313,194361
483321494,187553
483329978,190202
483340158,195320
483350339,181379
483360519,195931
483370700,183577
483380880,187558
483391061,196900
483401241,179526
483411422,195142
483419905,180983
483430086,190170
483440266,195447
483450447,182052
483460627,195736
483470808,184257
483480988,187795
483491168,197748
483501349,179665
483509833,196975
483520013,182246
483530193,190199
483540374,195241
483550554,181234
483560735,195478
483570915,184049
483581096,187712
483591277,197377
483601457,179256
483609941,196418
483620121,182139
483630301,189568
483640482,195062
483650662,180568
483660843,195423
483671023,184504
483681204,187018
483691384,197609
483699868,182995
483710048,197239
483720229,181764
483730409,189340
483740590,195195
483750770,180719
483760951,195058
483771131,184079
483781311,187090
483791492,197219
483799976,182737
483810156,196601
483820337,182535
483830517,188883
483840698,195986
483850878,180312
483861058,195117
483871239,184247
483881419,186770
483889903,193638
483900083,183385
483910264,196405
483920444,182585
483930625,189523
483940805,196201
483950986,180088
483961166,194303
483971346,184542
483981527,187372
483990011,192864
484000191,182970
484010372,196314
484020552,182486
484030733,189127
484040913,196521
484051094,180267
484061274,194972
484071454,185392
484079938,191053
484090119,193479
484100299,182662
484110480,195818
484120660,182041
484130841,188941
484141021,195673
484151202,181131
484161382,194567
484169866,179999
484180046,191817
484190227,193790
484200407,182459
484210588,196404
484220768,182567
484230949,188710
484241129,196084
484251309,180657
484261490,194583
484269974,180884
484280154,190967
484290334,194011
484300515,182097
484310695,196016
484320876,183390
484331056,188848
484341237,196317
484351417,179697
484359901,196900
484370081,180019
484380261,191181
484390442,194479
484400622,182549
484410803,196276
484420983,183370
484431163,188307
484441344,196812
484451524,179444
484460008,197362
484470188,180632
484480369,191146
484490549,194635
484500730,181675
484510910,195388
484521090,183177
484531271,188804
484541451,196836
484549935,184314
484560115,197036
484570296,181455
484580476,190463
484590657,194806
484600837,182120
484611017,195395
484621198,183588
484631378,187935
484641559,196691
484650042,184136
484660223,197022
484670403,181090
484680584,190085
484690764,195192
484700945,181969
484711125,195286
484721306,183290
484731486,188034
484739970,192195
484750150,184189
484760331,196433
484770511,181509
484780692,190128
484790872,194397
484801053,181353
484811233,196116
484821413,183744
484831594,187776
484840078,192099
484850258,183753
484860438,196729
484870619,181702
484880799,189517
484890980,195197
484901160,181298
484911341,195713
484921521,183814
484930005,192285
484940185,192831
484950365,183380
484960546,196368
484970726,181970
484980907,189417
484991087,194847
485001268,180856
485011448,195554
485021628,184060
485030112,191851
485040293,193077
485050473,183904
485060654,196588
485070834,181866
485081014,189766
485091195,195909
485101375,181013
485111556,196046
485120039,179941
485130220,191535
485140400,193523
485150581,183567
485160761,196960
485170941,182021
485181122,189856
485191302,195440
485201483,180939
485211663,195757
485220147,180010
485230327,191619
485240508,193412
485250688,184260
485260869,196472
485271049,182635
485281230,189375
485291410,195283
485301590,180957
485310074,197901
485320254,180276
485330435,191545
485340615,193021
485350796,183001
485360976,196914
485371159,182545
485381347,189360
485391534,196292
485401722,181003
485410212,197378
485420362,181297
485430543,191400
485440723,193634
485450904,183162
485461084,196724
485471264,182465
485481445,189531
485491625,195986
485500109,185351
485510289,197273
485520470,180430
485530650,191708
485540830,193656
485551011,183855
485561191,196018
485571372,182768
485581552,188519
485591733,196269
485600216,184605
485610397,197237
485620577,180683
485630757,191290
485640938,194221
485651118,183289
485661299,196554
485671479,182838
485681660,189372
485690143,190693
485700324,184559
485710504,197730
485720685,180694
485730865,191395
485741045,193884
485751226,183045
485761406,196164
485771587,183180
485781767,188581
485790251,190669
485800431,184574
485810612,197601
485820792,181158
