time_us         delay   reading
79368622        115     23
79369800        119     24
79370978        118     21
79372155        117     24
79373333        117     22
79374509        117     22
79375687        119     23
79376864        119     22
79378041        117     23
79379219        115     23
79380395        119     23
79381573        116     25
79382750        117     22
79383928        118     23
79385105        120     24
79386283        119     22
79387460        116     25
79388637        118     22
79389814        120     23
79390992        120     21
79392170        119     22
79393346        118     22
79394524        119     23
79395701        117     21
79396878        119     22
79398056        117     23
79399233        118     23
79400411        118     23
79401588        117     22
79402765        118     22
79403943        121     24
79405120        118     21
79406298        119     23
79407476        119     23
79408653        117     24
79409831        117     22
79411008        118     22
79412185        120     21
79413363        117     24
79414540        116     23
79415717        119     23
79416895        116     23
79418072        120     24
79419249        120     22
79420426        119     23
79421604        120     22
79422782        116     24
79423958        120     21
79425137        119     23
79426314        116     23
79427492        118     25
79428669        118     23
79429846        122     23
79431024        118     23
79432201        119     23
79433378        115     23
79434556        124     23
79435733        117     23
79436911        120     23
79438088        117     23
79439265        120     21
79440443        117     22
79441620        119     23
79442798        118     23
79443975        120     25
79445153        117     24
79446330        117     25
79447508        119     23
79448685        120     22
79449862        118     25
79451040        122     22
79452217        118     20
79453395        120     22
79454572        118     23
79455749        118     23
79456926        118     23
79458104        120     22
79459281        116     23
79460459        118     23
79461636        121     22
79462814        120     23
79463991        121     23
79465169        117     22
79466346        114     23
79467523        118     23
79468701        120     24
79469878        116     23
79471056        122     22
79472234        120     22
79473410        116     21
79474588        118     23
79475765        116     24
79476943        122     22
79478120        121     23
79479298        118     23
79480475        119     24
79481653        118     24
79482830        118     24
79484008        116     23
79485185        120     23
79486363        118     22
79487540        119     24
79488717        116     23
79489895        117     20
79491072        117     21
79492250        119     22
79493427        117     24
79494605        119     22
79495782        116     22
79496959        117     23
79498137        118     22
79499314        118     22
79500491        118     23
79501669        120     23
79502847        120     23
79504024        119     21
79505201        118     23
79506379        120     23
79507556        117     23
79508734        122     23
79509911        118     23
79511089        118     22
79512267        117     23
79513444        117     22
79514621        117     24
79515799        116     23
79516976        116     21
79518154        118     22
79519331        120     22
79520509        119     21
79521685        117     23
79522863        116     23
79524040        119     24
79525218        117     23
79526396        117     24
79527572        116     24
79528750        120     22
